==1898== NVPROF is profiling process 1898, command: ./ranksort_profiling.out
==1898== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1898== Profiling application: ./ranksort_profiling.out
==1898== Profiling result:
==1898== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"shared_efficiency","Shared Memory Efficiency",10.825300%,10.825300%,10.825300%
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"gst_efficiency","Global Memory Store Efficiency",12.500000%,12.500000%,12.500000%
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"shared_load_transactions","Shared Load Transactions",182825408,182825408,182825408
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"shared_store_transactions","Shared Store Transactions",147238409,147238409,147238409
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"gst_transactions","Global Store Transactions",1048576,1048576,1048576
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"cf_executed","Executed Control-Flow Instructions",9314557034,9314557034,9314557034
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"ldst_executed","Executed Load/Store Instructions",34921373913,34921373913,34921373913
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"inst_fp_32","FP Instructions(Single)",134215680,134215680,134215680
"Tesla K40m (0)","rankSort(int*, int*, int)",1,"inst_bit_convert","Bit-Convert Instructions",402647040,402647040,402647040
==1898== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
